oCity,dCity,ntrains
"Alicante / Alacant","Toledo",2
"Alicante / Alacant","Vigo Guixar",1
"Alicante / Alacant","Vitoria/Gasteiz",1
"Albacete","A Coruña",1
"Albacete","Almería",1
"A Coruña","Alicante / Alacant",2
"A Coruña","Albacete",2
"A Coruña","Avila",1
"A Coruña","Barcelona (*)",3
"A Coruña","Burgos Rosa de Lima",4
"A Coruña","Cuenca (*)",2
"A Coruña","Ferrol",4
"A Coruña","Figueres Vilafant",1
"A Coruña","Girona",1
"A Coruña","Hendaya",1
"A Coruña","Irún",1
"A Coruña","León",4
"A Coruña","Lleida",3
"A Coruña","Logroño",1
"A Coruña","Lugo",5
"A Coruña","Madrid (*)",6
"A Coruña","Medina del Campo",4
"A Coruña","Miranda de Ebro",3
"A Coruña","Monforte de Lemos",7
"A Coruña","Ourense",11
"A Coruña","Palencia",4
"A Coruña","Pamplona/Iruña",2
"A Coruña","Ponferrada",4
"A Coruña","Pontevedra",16
"A Coruña","Sahagún",3
