estacion,numero_de_trenes_que_salen,destinos_con_y_sin_transbordo_a,conexiones_directas_a,billetes_con_transbordo_a,
Algeciras,5,12,Antequera (*) (4) - Bobadilla (3) - Granada (3) - Córdoba (2) - Madrid (*) (2) - Ciudad Real (1) - Puertollano (1) - ,Ciudad Real (3) - Córdoba (3) - Lleida (2) - Tarragona (*) (2) - Barcelona (*) (2) - Puente Genil (*) (2) - Puertollano (2) - Zaragoza (*) (2) - Madrid (*) (1) -  , 

A Coruña,31,45,Santiago de Compostela (24) - Vigo Guixar (16) - Pontevedra (16) - Ourense (8) - Monforte de Lemos (5) - Zamora (4) - Medina del Campo (4) - Lugo (4) - Madrid (*) (4) - Ferrol (3) - Segovia (*) (2) - Ponferrada (2) - Palencia (2) - Burgos Rosa de Lima (2) - León (2) - Logroño (1) - Lleida (1) - Zaragoza (*) (1) - Tudela de Navarra (1) - Tarragona (*) (1) - Miranda de Ebro (1) - Sahagún (1) - Avila (1) - Vitoria/Gasteiz (1) - San Sebastián/Donostia (1) - Irún (1) - Hendaya (1) - Barcelona (*) (1) - ,Tudela de Navarra (3) - Ourense (3) - Pamplona/Iruña (3) - Zaragoza (*) (3) - Ponferrada (2) - Tarragona (*) (2) - Lleida (2) - Córdoba (2) - Barcelona (*) (2) - Cuenca (*) (2) - Vitoria/Gasteiz (2) - Miranda de Ebro (2) - Burgos Rosa de Lima (2) - Palencia (2) - Sahagún (2) - León (2) - Monforte de Lemos (2) - Salamanca (*) (1) - Figueres Vilafant (1) - Girona (1) - Cádiz (1) - San Fernando (*) (1) - Puerto Santa María (1) - Jerez de la Frontera (1) - Alicante / Alacant (1) - Málaga MarÃ­a Zambrano (1) - Villena AV (1) - Albacete (1) - Sevilla (1) - Ferrol (1) - Valencia (*) (1) - Requena / Utiel (1) - Lugo (1) - Madrid (*) (1) -  , 

Alicante / Alacant,26,35,Valencia (*) (11) - Albacete (11) - Madrid (*) (9) - Villena (9) - Barcelona (*) (8) - Tarragona (*) (8) - Villena AV (7) - XÃ tiva (7) - Murcia (4) - Benicassim (4) - Valladolid Campo Grande (2) - Segovia (*) (2) - Palencia (2) - Alcázar de San Juan (2) - Oropesa/Orpesa (2) - Oviedo (1) - León (1) - Sahagún (1) - Santander (1) - Montpellier (1) - Portbou (1) - Lorca-Sutullena (1) - Teruel (1) - Zaragoza (*) (1) - ,Madrid (*) (3) - Valencia (*) (2) - Teruel (2) - Zaragoza (*) (2) - Toledo (2) - Segovia (*) (2) - Palencia (1) - Valladolid Campo Grande (1) - Vitoria/Gasteiz (1) - Miranda de Ebro (1) - Sahagún (1) - León (1) - Oviedo (1) - Pontevedra (1) - Vigo Guixar (1) - A Coruña (1) - Santiago de Compostela (1) - Ourense (1) - Zamora (1) - Medina del Campo (1) - Burgos Rosa de Lima (1) -  , 

Almería,6,13,Antequera (*) (4) - Granada (4) - Sevilla (4) - Alcázar de San Juan (2) - Madrid (*) (2) - Linares-Baeza (2) - Valdepeñas (1) - ,Barcelona (*) (1) - Tarragona (*) (1) - Castellón /Castelló (1) - Valencia (*) (1) - XÃ tiva (1) - Albacete (1) - Alcázar de San Juan (1) - Valdepeñas (1) - Linares-Baeza (1) -  , 

Bobadilla,17,14,Málaga MarÃ­a Zambrano (6) - Sevilla (5) - Granada (3) - Antequera (*) (3) - Algeciras (3) - ,Ciudad Real (3) - Córdoba (3) - Lleida (2) - Tarragona (*) (2) - Barcelona (*) (2) - Puente Genil (*) (2) - Puertollano (2) - Zaragoza (*) (2) - Madrid (*) (1) -  , 

